mode,alpha,curve,rank,conductor,window,n,K_min,K_max,slope_logP_vs_loglogK,expected_slope,slope_error_vs_minus_rank,intercept,r2,rmse_logP,adjusted_mean,adjusted_sd_pop,adjusted_min,adjusted_max,adjusted_range,adjusted_first,adjusted_last,adjusted_endpoint_drift,adjusted_last_step,P_first,P_last
sharp,0.65,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
sharp,0.65,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
sharp,0.75,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
sharp,0.75,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
sharp,0.75,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
sharp,0.85,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
sharp,0.85,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
sharp,0.85,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
sharp,0.92,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
sharp,0.92,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
sharp,0.92,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
c_only,0,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
c_only,0,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
c_only,0,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
c_only,0.25,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
c_only,0.25,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
c_only,0.25,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
c_only,0.5,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
c_only,0.5,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
c_only,0.5,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
c_only,0.65,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
c_only,0.65,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
c_only,0.65,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
c_only,0.75,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
c_only,0.75,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
c_only,0.75,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
c_only,0.85,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
