p,n,M_p,B,C,Term2,correction_over_C,margin
13,47,-3,0.7038961039,5.8709956710,2.5835497835,0.440053,0.059947
19,103,-3,4.2687004172,12.8593920785,4.2953458306,0.334024,0.165976
43,543,-3,112.0616277498,82.7949394897,-14.6333441301,-0.176742,0.676742
47,651,-3,136.4829054601,87.3968118880,-24.5430467861,-0.280823,0.780823
53,831,-3,169.6119825101,121.1734599054,-24.2192613023,-0.199873,0.699873
71,1495,-3,394.7748701437,217.1632819244,-88.8057941097,-0.408936,0.908936
107,3427,-3,1467.9869676688,508.3913821716,-479.7977927486,-0.943757,1.443757
131,5155,-3,2224.1572958233,806.6469426961,-708.7551765636,-0.878644,1.378644
173,9023,-3,5008.4143683216,1436.9211631992,-1785.7466025612,-1.242759,1.742759
179,9655,-3,5064.2284424119,1468.7302963052,-1797.7490730533,-1.224016,1.724016
271,22205,-3,14530.4021621631,3644.7746927052,-5442.8137347289,-1.493320,1.993320
311,29231,-3,19185.3317334496,4694.3995089421,-7245.4661122537,-1.543428,2.043428
379,43467,-3,33361.7501719226,7121.2613722526,-13120.2443998350,-1.842405,2.342405
389,45817,-3,39502.5111122193,7396.7757296670,-16052.8676912762,-2.170252,2.670252
431,56211,-3,34659.0840890110,9061.6058231456,-12798.7391329327,-1.412414,1.912414
523,82909,-3,78765.7192868524,13739.1478263537,-32513.2857302494,-2.366470,2.866470
617,115381,-3,112005.3216197619,19056.4961874272,-46474.4127161674,-2.438770,2.938770
631,120689,-3,119433.8003341517,20184.2641691114,-49624.7680825202,-2.458587,2.958587
719,156785,-3,136937.2482713287,25319.4492344265,-55808.8995184511,-2.204191,2.704191
733,162969,-3,139937.2937163677,26796.2228048618,-56570.5354557529,-2.111138,2.611138
751,171019,-3,173212.6894527804,28257.3600110959,-72477.6647208422,-2.564913,3.064913
757,173789,-3,174420.1667353617,28934.5505046933,-72742.8081153342,-2.514047,3.014047
769,179409,-3,183685.1337415151,29544.9750844311,-77070.0793285420,-2.608568,3.108568
829,208537,-3,203682.6038452059,34537.0694814206,-84572.7671818926,-2.448753,2.948753
839,213559,-3,200944.9781081869,34620.6129695643,-83162.1825693113,-2.402100,2.902100
863,226001,-3,270944.3890101735,36751.7813046116,-117096.3038527810,-3.186140,3.686140
1223,454049,-3,459441.7770393597,74586.0360787869,-192427.8704802864,-2.579945,3.079945
1237,464497,-3,580914.4642388597,76754.7661275823,-252079.8490556387,-3.284224,3.784224
1249,473559,-3,530274.4605394887,78730.4422749769,-225772.0091322559,-2.867658,3.367658
1499,682285,-3,975182.7300740338,112421.1185921036,-431380.8057409651,-3.837187,4.337187
1511,693213,-3,916573.8746296618,113822.4151173021,-401375.7297561798,-3.526333,4.026333
1567,745543,-3,860818.9250691570,123200.1204063904,-368809.4023313833,-2.993580,3.493580
1823,1009345,-3,1174950.6458500214,166461.5962261674,-504244.5248119270,-3.029194,3.529194
1831,1018143,-3,1195706.0338970448,168728.9237086292,-513488.5550942078,-3.043275,3.543275
1873,1065423,-3,1090215.6542218458,177621.2975866341,-456297.1783176059,-2.568933,3.068933
1877,1070023,-3,1215625.2686685838,177584.5215239894,-519020.3735722972,-2.922667,3.422667
1933,1134849,-3,1165460.5015056073,188669.3721941837,-488395.5646557118,-2.588632,3.088632
2143,1394975,-3,2430053.2384378319,231701.1062687879,-1099176.0660845221,-4.743940,5.243940
